"","AMT","TIME","TFDS","DV"
"1",200,0,0,0
"2",200,1,1,100.95856373
"3",200,2,2,60.96189394
"4",200,3,3,42.5809344
"5",200,4,4,32.91155649
"6",200,5,5,26.57857347
"7",200,6,0,21.83396449
"8",200,7,1,119.00983272
"9",200,8,2,75.92106819
"10",200,9,3,54.98849173
"11",200,10,4,43.20608218
"12",200,11,5,35.12097984
"13",200,12,0,28.92280698
"14",200,13,1,124.8925672
"15",200,14,2,80.8029484
"16",200,15,3,59.03981527
"17",200,16,4,46.56816011
"18",200,17,5,37.91107636
"19",200,18,0,31.23823375
"20",200,19,1,126.81407922
"21",200,20,2,82.39756146
"22",200,21,3,60.36314365
"23",200,22,4,47.66635648
"24",200,23,5,38.82244154
"25",200,24,0,31.99455252
"26",200,25,1,127.44172896
"27",200,26,2,82.91843206
"28",200,27,3,60.79540095
"29",200,28,4,48.02507586
"30",200,29,5,39.12013366
"31",200,30,0,32.24159967
"32",200,31,1,127.64674714
"33",200,32,2,83.08857145
"34",200,33,3,60.93659532
"35",200,34,4,48.1422495
"36",200,35,5,39.21737309
"37",200,36,0,32.32229622
"38",200,37,1,127.71371515
"39",200,38,2,83.14414651
"40",200,39,3,60.98271566
"41",200,40,4,48.1805236
"42",200,41,5,39.2491358
"43",200,42,0,32.34865528
"44",200,43,1,127.73558988
"45",200,44,2,83.16229979
"46",200,45,3,60.99778061
"47",200,46,4,48.19302561
"48",200,47,5,39.2595109
"49",200,48,0,32.35726532
"50",200,49,1,127.74273513
"51",200,50,2,83.16822945
"52",200,51,3,61.00270148
"53",200,52,4,48.19710932
"54",200,53,5,39.26289987
"55",200,54,0,32.36007774
"56",200,55,1,127.74506908
"57",200,56,2,83.17016634
"58",200,57,3,61.00430886
"59",200,58,4,48.19844325
"60",200,59,5,39.26400686
"61",200,60,0,32.3609964
"62",200,61,1,127.74583146
"63",200,62,2,83.17079902
"64",200,63,3,61.0048339
"65",200,64,4,48.19887896
"66",200,65,5,39.26436845
"67",200,66,0,32.36129648
"68",200,67,1,127.74608048
"69",200,68,2,83.17100568
"70",200,69,3,61.0050054
"71",200,70,4,48.19902129
"72",200,71,5,39.26448656
"73",200,72,6,32.36139449
"74",200,0,0,0
"75",200,1,1,268.09458605
"76",200,2,2,165.82246069
"77",200,3,3,114.71372337
"78",200,4,4,89.83736412
"79",200,5,5,75.11796865
"80",200,6,0,64.84895569
"81",200,7,1,324.96905796
"82",200,8,2,216.11176342
"83",200,9,3,159.37745818
"84",200,10,4,129.60372682
"85",200,11,5,110.57490781
"86",200,12,0,96.49017055
"87",200,13,1,353.21930454
"88",200,14,2,241.34196616
"89",200,15,3,181.91448301
"90",200,16,4,149.73720169
"91",200,17,5,128.56231834
"92",200,18,0,112.56088562
"93",200,19,1,367.57789274
"94",200,20,2,254.17100942
"95",200,21,3,193.37701056
"96",200,22,4,159.97882203
"97",200,23,5,137.71310113
"98",200,24,0,120.73703085
"99",200,25,1,374.88321558
"100",200,26,2,260.69826337
"101",200,27,3,199.20906775
"102",200,28,4,165.18972682
"103",200,29,5,142.36901099
"104",200,30,0,124.89705666
"105",200,31,1,378.60017233
"106",200,32,2,264.01934082
"107",200,33,3,202.17642959
"108",200,34,4,167.84104602
"109",200,35,5,144.73794808
"110",200,36,0,127.01368712
"111",200,37,1,380.4913684
"112",200,38,2,265.70911267
"113",200,39,3,203.68623016
"114",200,40,4,169.19004339
"115",200,41,5,145.94326878
"116",200,42,0,128.09063363
"117",200,43,1,381.45361337
"118",200,44,2,266.56887252
"119",200,45,3,204.45442022
"120",200,46,4,169.87641639
"121",200,47,5,146.55653877
"122",200,48,0,128.63858652
"123",200,49,1,381.94320585
"124",200,50,2,267.00632034
"125",200,51,3,204.84527711
"126",200,52,4,170.22564458
"127",200,53,5,146.86857197
"128",200,54,0,128.91738623
"129",200,55,1,382.19231165
"130",200,56,2,267.22889482
"131",200,57,3,205.04414601
"132",200,58,4,170.4033327
"133",200,59,5,147.02733519
"134",200,60,0,129.05924018
"135",200,61,1,382.31905726
"136",200,62,2,267.34214123
"137",200,63,3,205.14533097
"138",200,64,4,170.49374082
"139",200,65,5,147.10811429
"140",200,66,0,129.1314158
"141",200,67,1,382.38354572
"142",200,68,2,267.39976127
"143",200,69,3,205.19681411
"144",200,70,4,170.53974069
"145",200,71,5,147.14921488
"146",200,72,6,129.16813892
"147",200,0,0,0
"148",200,1,1,171.79924228
"149",200,2,2,134.55857051
"150",200,3,3,102.13832134
"151",200,4,4,83.25615999
"152",200,5,5,70.42114783
"153",200,6,0,60.54318791
"154",200,7,1,224.23091673
"155",200,8,2,180.12321396
"156",200,9,3,141.80532995
"157",200,10,4,117.82191049
"158",200,11,5,100.55796202
"159",200,12,0,86.82683156
"160",200,13,1,247.15833257
"161",200,14,2,200.12521712
"162",200,15,3,159.25637395
"163",200,16,4,133.04796101
"164",200,17,5,113.84303755
"165",200,18,0,98.4185396
"166",200,19,1,257.27261065
"167",200,20,2,208.95042239
"168",200,21,3,166.95682647
"169",200,22,4,139.76702222
"170",200,23,5,119.70578936
"171",200,24,0,103.5341182
"172",200,25,1,261.73624102
"173",200,26,2,212.84519235
"174",200,27,3,170.35523417
"175",200,28,4,142.73232601
"176",200,29,5,122.29318555
"177",200,30,0,105.79176862
"178",200,31,1,263.70616953
"179",200,32,2,214.56406715
"180",200,33,3,171.85505032
"181",200,34,4,144.04100103
"182",200,35,5,123.43507904
"183",200,36,0,106.78813572
"184",200,37,1,264.57555659
"185",200,38,2,215.32265688
"186",200,39,3,172.51696306
"187",200,40,4,144.6185576
"188",200,41,5,123.93903005
"189",200,42,0,107.22786169
"190",200,43,1,264.95924254
"191",200,44,2,215.65744472
"192",200,45,3,172.80908453
"193",200,46,4,144.87345022
"194",200,47,5,124.16143838
"195",200,48,0,107.42192562
"196",200,49,1,265.12857438
"197",200,50,2,215.8051964
"198",200,51,3,172.93800628
"199",200,52,4,144.98594179
"200",200,53,5,124.25959368
"201",200,54,0,107.50757172
"202",200,55,1,265.20330547
"203",200,56,2,215.87040354
"204",200,57,3,172.99490322
"205",200,58,4,145.03558761
"206",200,59,5,124.30291249
"207",200,60,0,107.54536984
"208",200,61,1,265.23628649
"209",200,62,2,215.89918135
"210",200,63,3,173.02001351
"211",200,64,4,145.05749777
"212",200,65,5,124.32203035
"213",200,66,0,107.56205126
"214",200,67,1,265.25084198
"215",200,68,2,215.91188185
"216",200,69,3,173.03109541
"217",200,70,4,145.06716736
"218",200,71,5,124.33046762
"219",200,72,6,107.56941326
"220",200,0,0,0
"221",200,1,1,107.4391448
"222",200,2,2,61.89743084
"223",200,3,3,38.32962289
"224",200,4,4,26.07874768
"225",200,5,5,19.16546875
"226",200,6,0,14.99095474
"227",200,7,1,119.75209803
"228",200,8,2,72.38785463
"229",200,9,3,47.50441046
"230",200,10,4,34.24875076
"231",200,11,5,26.5287702
"232",200,12,0,21.67960384
"233",200,13,1,125.85877807
"234",200,14,2,77.98126426
"235",200,15,3,52.63821129
"236",200,16,4,38.96681872
"237",200,17,5,30.86831278
"238",200,18,0,25.67304007
"239",200,19,1,129.53489826
"240",200,20,2,81.36596796
"241",200,21,3,55.75499632
"242",200,22,4,41.83712145
"243",200,23,5,33.51175796
"244",200,24,0,28.10763412
"245",200,25,1,131.77718611
"246",200,26,2,83.43116521
"247",200,27,3,57.65710392
"248",200,28,4,43.5890272
"249",200,29,5,35.12532761
"250",200,30,0,29.59379399
"251",200,31,1,133.14599829
"252",200,32,2,84.69189647
"253",200,33,3,58.81828884
"254",200,34,4,44.65852619
"255",200,35,5,36.11038028
"256",200,36,0,30.50106822
"257",200,37,1,133.98163543
"258",200,38,2,85.46155292
"259",200,39,3,59.52717435
"260",200,40,4,45.31143916
"261",200,41,5,36.71174023
"262",200,42,0,31.05494569
"263",200,43,1,134.49177958
"264",200,44,2,85.93141686
"265",200,45,3,59.95993855
"266",200,46,4,45.71003295
"267",200,47,5,37.07886167
"268",200,48,0,31.39307978
"269",200,49,1,134.80321511
"270",200,50,2,86.21826192
"271",200,51,3,60.22413476
"272",200,52,4,45.95336863
"273",200,53,5,37.30298393
"274",200,54,0,31.59950569
"275",200,55,1,134.99334194
"276",200,56,2,86.39337663
"277",200,57,3,60.38542268
"278",200,58,4,46.1019215
"279",200,59,5,37.43980729
"280",200,60,0,31.72552569
"281",200,61,1,135.1094116
"282",200,62,2,86.50028159
"283",200,63,3,60.48388659
"284",200,64,4,46.19261086
"285",200,65,5,37.52333595
"286",200,66,0,31.80245906
"287",200,67,1,135.18027042
